date,train_id,mileage_km,rolling_stock_cert_days_remaining,signalling_cert_days_remaining,telecom_cert_days_remaining,job_card_status,branding_priority,cleaning_status,cleaning_due,hours_run_today,stabling_location,induction_decision,total_cert_days,certs_critical,weekday
2021-09-14,1,184960,20,24,171,Open,Low,Clean,False,9.7,Track 6,Inducted,215,0,1
2021-09-14,2,115360,80,58,339,Closed,Medium,Clean,False,11.4,Track 13,Inducted,477,0,1
2021-09-14,3,101801,7,81,94,Closed,Low,Scheduled,True,1.0,Track 1,Standby,182,1,1
2021-09-14,4,189162,47,99,93,Closed,Medium,Clean,False,10.0,Track 13,Inducted,239,0,1
2021-09-14,5,173683,34,90,345,Open,Low,Clean,False,0.0,Track 13,Maintenance,469,0,1
2021-09-14,6,92742,22,138,357,Closed,Low,Clean,False,0.7,Track 14,Standby,517,0,1
2021-09-14,7,189246,49,97,325,Closed,Medium,Clean,False,10.3,Track 15,Inducted,471,0,1
2021-09-14,8,70259,24,52,191,Closed,Low,Clean,False,1.0,Track 12,Standby,267,0,1
2021-09-14,9,107502,64,173,108,Closed,Medium,Clean,False,0.0,Track 12,Maintenance,345,0,1
2021-09-14,10,148846,40,101,198,Closed,Medium,Clean,False,0.0,Track 14,Maintenance,339,0,1
2021-09-14,11,182925,62,167,258,Closed,High,Scheduled,True,0.9,Track 10,Standby,487,0,1
2021-09-14,12,104857,5,38,122,Open,Low,Clean,False,13.5,Track 5,Inducted,165,1,1
2021-09-14,13,106829,21,75,230,Closed,High,Clean,False,12.4,Track 2,Inducted,326,0,1
2021-09-14,14,84646,26,19,272,Open,High,Clean,False,0.0,Track 4,Maintenance,317,0,1
2021-09-14,15,179121,64,73,125,Closed,High,Clean,False,9.9,Track 15,Inducted,262,0,1
2021-09-14,16,156046,15,119,247,Closed,High,Clean,False,9.5,Track 11,Inducted,381,0,1
2021-09-14,17,170566,11,168,32,Closed,Low,Clean,False,8.2,Track 6,Inducted,211,0,1
2021-09-14,18,163441,19,79,173,Closed,High,Clean,False,12.1,Track 2,Inducted,271,0,1
2021-09-14,19,135120,26,5,332,Closed,Low,Clean,False,0.9,Track 4,Standby,363,1,1
2021-09-14,20,173053,31,79,141,Closed,Medium,Clean,True,11.3,Track 3,Inducted,251,0,1
2021-09-14,21,95614,36,166,303,Open,Low,Clean,False,0.0,Track 3,Maintenance,505,0,1
2021-09-14,22,72312,35,31,202,Closed,High,Clean,False,1.1,Track 8,Standby,268,0,1
2021-09-14,23,182949,70,162,61,Open,High,Clean,False,0.0,Track 13,Maintenance,293,0,1
2021-09-14,24,100496,11,173,225,Closed,Low,Clean,False,12.2,Track 4,Inducted,409,0,1
2021-09-14,25,88889,11,66,36,Closed,Low,Clean,False,0.8,Track 9,Standby,113,0,1
2021-09-15,1,185527,19,23,170,Closed,Low,Clean,False,11.1,Track 5,Inducted,212,0,2
2021-09-15,2,115365,79,57,338,Closed,Medium,Clean,False,1.0,Track 9,Standby,474,0,2
2021-09-15,3,101801,6,80,93,Open,Low,Clean,False,0.0,Track 14,Maintenance,179,1,2
2021-09-15,4,189642,46,98,92,Closed,Medium,Clean,False,12.5,Track 3,Inducted,236,0,2
2021-09-15,5,174192,33,89,344,Closed,Low,Clean,False,10.0,Track 11,Inducted,466,0,2
2021-09-15,6,92772,21,137,356,Closed,Low,Clean,False,1.4,Track 3,Standby,514,0,2
2021-09-15,7,189287,48,96,324,Closed,Medium,Clean,False,1.2,Track 1,Standby,468,0,2
2021-09-15,8,70301,23,51,190,Closed,Low,Clean,False,0.9,Track 10,Standby,264,0,2
